ticker,average_weight,annualized_return
AAPL,0.0019,-0.0824
ABBV,0.0019,0.0843
ABEV,0.0828,0.2490
AMX,0.0654,-0.1067
AMZN,0.0019,-0.1122
ASX,0.0019,-0.2879
AVGO,0.0019,0.1252
BHP,0.0019,-0.1981
BP,0.0414,-0.2702
BRK-A,0.0019,0.3940
BTI,0.0019,0.5958
CHT,0.0019,0.0942
CHTR,0.0019,0.2070
CMCSA,0.0140,-0.0968
COP,0.0171,-0.2945
CSCO,0.0019,0.3036
CVX,0.0019,-0.1525
E,0.0019,-0.1197
EC,0.0567,-0.2091
EQNR,0.0019,-0.1807
ERIC,0.0019,0.4428
GM,0.0019,-0.0523
GOOG,0.0019,-0.1708
GS,0.0019,0.1386
HD,0.0019,0.0838
HMC,0.0019,-0.1413
INTC,0.0228,-0.4246
JD,0.0517,0.6664
JNJ,0.0019,0.0841
JPM,0.0019,0.1999
META,0.0019,0.0450
MRK,0.0019,-0.4536
MSFT,0.0044,-0.1896
NFLX,0.0019,0.6037
NTES,0.1082,0.0346
NVDA,0.0195,-0.1220
NVO,0.0019,-0.6357
NVS,0.0019,0.0886
ORCL,0.0086,-0.0717
PBR,0.0019,-0.1745
PDD,0.1034,-0.3563
PEP,0.0019,-0.1364
PFE,0.0019,-0.2081
PG,0.0019,0.0693
RDY,0.0019,-0.0783
RIO,0.0019,-0.1012
SHEL,0.0019,-0.1399
SONY,0.0019,0.5244
STLA,0.0070,-0.6181
T,0.0019,0.6878
TM,0.0019,-0.1653
TMUS,0.0019,0.6748
TTE,0.0019,-0.1736
UL,0.0019,0.2131
UMC,0.0506,-0.2089
UNH,0.0019,0.2459
V,0.0019,0.3701
VALE,0.1705,-0.1421
VOD,0.0019,0.0718
VZ,0.0019,0.1553
WIT,0.0907,-0.0924
WMT,0.0019,0.5340
XOM,0.0019,-0.1113
